 ,1
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,1
12,0
13,0
14,1
15,0
16,0
17,1
18,2
19,2
20,2
21,4
22,2
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,2
33,0
34,2
35,0
36,3
37,0
38,0
39,2
40,3
41,0
42,1
43,0
44,3
45,1
46,4
47,1
48,0
49,2
50,1
51,0
52,0
53,2
54,4
55,2
56,0
57,4
58,1
59,5
60,1
61,3
62,1
63,1
64,2
65,1
66,1
67,0
68,3
69,1
70,1
71,0
72,2
73,1
74,1
75,1
76,2
77,5
78,6
79,6
80,7
81,5
82,12
83,6
84,19
85,12
86,24
87,20
88,25
89,31
90,30
91,30
92,38
93,39
94,54
95,42
96,42
97,40
98,62
99,56
100,50
101,65
102,62
103,60
104,63
105,63
106,56
107,54
108,66
109,50
110,49
111,43
112,58
113,45
114,45
115,50
116,37
117,40
118,37
119,25
120,23
121,30
122,26
123,27
124,26
125,24
126,15
127,22
128,16
129,18
130,13
131,16
132,29
133,19
134,25
135,24
136,21
137,28
138,36
139,27
140,38
141,43
142,50
143,57
144,58
145,64
146,44
147,52
148,58
149,60
150,74
151,61
152,65
153,66
154,58
155,68
156,70
157,46
158,69
159,48
160,55
161,50
162,48
163,38
164,49
165,38
166,52
167,32
168,24
169,23
170,32
171,27
172,23
173,21
174,20
175,13
176,19
177,17
178,22
179,23
180,18
181,25
182,17
183,19
184,29
185,24
186,26
187,27
188,30
189,33
190,35
191,33
192,34
193,33
194,33
195,50
196,46
197,36
198,31
199,45
200,35
201,28
202,34
203,46
204,49
205,38
206,40
207,50
208,34
209,38
210,25
211,38
212,24
213,25
214,30
215,21
216,28
217,22
218,23
219,23
220,23
221,17
222,15
223,23
224,19
225,12
226,14
227,13
228,16
229,9
230,14
231,12
232,16
233,17
234,21
235,20
236,22
237,24
238,16
239,17
240,19
241,24
242,22
243,20
244,26
245,26
246,44
247,31
248,39
249,30
250,28
251,28
252,31
253,28
254,32
255,31
256,29
257,38
258,32
259,29
260,21
261,25
262,26
263,18
264,29
265,8
266,19
267,13
268,21
269,24
270,15
271,15
272,14
273,14
274,9
275,12
276,5
277,8
278,11
279,7
280,7
