 ,35
1,34
2,122
3,40
4,21
5,50
6,3
7,29
8,8
9,98
10,46
11,11
12,74
13,104
14,20
15,74
16,66
17,64
18,57
19,73
20,73
21,61
22,60
23,88
24,70
25,75
26,73
27,91
28,88
29,95
30,113
31,104
32,116
33,123
34,133
35,130
36,130
37,151
38,136
39,138
40,159
41,136
42,140
43,136
44,137
45,163
46,136
47,121
48,122
49,127
50,111
51,112
52,104
53,119
54,106
55,104
56,104
57,102
58,114
59,92
60,84
61,76
62,92
63,84
64,90
65,93
66,96
67,95
68,83
69,114
70,110
71,86
72,79
73,102
74,86
75,85
76,93
77,81
78,80
79,91
80,79
81,100
82,89
83,95
84,94
85,96
86,96
87,108
88,89
89,101
90,107
91,94
92,91
93,106
94,100
95,86
96,103
97,102
98,93
99,114
100,100
101,97
102,97
103,99
104,91
105,87
106,96
107,97
108,95
109,106
110,79
111,90
112,98
113,90
114,99
115,87
116,99
117,110
118,100
119,92
120,79
121,82
122,99
123,95
124,97
125,85
126,97
127,91
128,105
129,90
130,107
131,90
132,102
133,104
134,98
135,95
136,95
137,109
138,117
139,104
140,93
141,104
142,115
143,121
144,122
145,112
146,109
147,106
148,144
149,122
150,124
151,125
152,141
153,119
154,160
155,176
156,159
157,153
158,159
159,182
160,174
161,168
162,201
163,183
164,217
165,223
166,218
167,234
168,225
169,223
170,238
171,258
172,272
173,268
174,283
175,267
176,272
177,290
178,291
179,357
180,350
181,372
182,358
183,367
184,397
185,351
186,345
187,343
188,372
189,373
190,376
191,380
192,372
193,365
194,376
195,421
196,419
197,417
198,394
199,401
200,417
201,428
202,438
203,406
204,443
205,438
206,421
207,398
208,430
209,409
210,385
211,436
212,450
213,423
214,385
215,411
216,388
217,406
218,394
219,397
220,414
221,371
222,370
223,393
224,381
225,372
226,340
227,327
228,338
229,338
230,345
231,301
232,297
233,291
234,300
235,278
236,288
237,263
238,238
239,236
240,239
241,261
242,260
243,240
244,244
245,263
246,250
247,241
248,238
249,255
250,257
251,282
252,251
253,286
254,272
255,277
256,283
257,254
258,297
259,281
260,279
261,267
262,268
263,326
264,346
265,344
266,369
267,341
268,355
269,368
270,350
271,360
272,364
273,387
274,379
275,372
276,369
277,403
278,353
279,400
280,396
281,412
282,417
283,389
284,427
285,452
286,446
287,414
288,439
289,405
290,429
291,431
292,434
293,400
294,448
295,439
296,446
297,419
298,423
299,428
300,421
301,392
302,403
303,446
304,415
305,451
306,436
307,417
308,416
309,397
310,407
311,370
312,375
313,350
314,369
315,352
316,342
317,324
318,331
319,353
320,332
321,300
322,285
323,304
324,287
325,285
326,263
327,323
328,278
329,270
330,267
331,267
332,263
333,284
334,261
335,274
336,272
337,254
338,285
339,279
340,262
341,297
342,244
343,238
344,292
345,257
346,291
347,255
348,274
349,290
350,278
351,284
352,266
353,281
354,284
355,263
356,313
357,284
358,341
359,309
360,303
361,341
362,308
363,346
364,294
365,281
366,347
367,318
368,358
369,338
370,320
371,334
372,356
373,375
374,344
375,387
376,393
377,355
378,385
379,383
380,360
381,425
382,362
383,385
384,373
385,382
386,401
387,338
388,419
389,405
390,421
391,451
392,420
393,372
394,361
395,416
396,334
397,402
398,380
399,353
400,391
401,333
402,361
403,310
404,345
405,363
406,307
407,353
408,319
409,320
410,326
411,286
412,316
413,318
414,302
415,320
416,298
417,303
418,293
419,297
420,304
421,300
422,304
423,286
424,283
425,269
426,263
427,274
428,237
429,265
430,281
431,293
432,252
433,252
434,238
435,278
436,280
437,241
438,223
439,259
440,258
441,272
442,240
443,242
444,252
445,243
446,276
447,252
448,259
449,287
450,231
451,277
452,249
453,262
454,257
455,272
456,260
457,252
458,290
459,252
460,297
461,278
462,306
463,311
464,298
465,294
466,295
467,286
468,307
469,282
470,349
471,293
472,346
473,352
474,342
475,343
476,337
477,331
478,363
479,335
480,318
481,311
482,314
483,314
484,304
485,335
486,298
487,333
488,310
489,293
490,322
491,314
492,335
493,289
494,319
495,293
496,313
497,320
498,318
499,320
500,284
501,292
502,284
503,275
504,278
505,282
506,315
507,298
508,292
509,305
510,265
511,262
512,274
513,294
514,261
515,290
516,302
517,276
518,259
519,228
520,224
521,247
522,227
523,252
524,266
525,226
526,248
527,216
528,247
529,255
530,243
531,216
532,217
533,226
534,226
535,208
536,238
537,226
538,210
539,225
540,207
541,243
542,226
543,235
544,218
545,258
546,246
547,242
548,244
549,226
550,247
551,230
552,238
553,235
554,215
555,259
556,234
557,246
558,260
559,230
560,253
561,253
562,267
563,256
564,213
565,234
566,221
567,236
568,240
569,231
570,259
571,252
572,226
573,247
574,256
575,221
576,260
577,252
578,232
579,228
580,264
581,241
582,283
583,264
584,254
585,254
586,248
587,274
588,263
589,277
590,247
591,257
592,258
593,226
594,234
595,230
596,251
597,269
598,271
599,268
600,295
601,222
602,252
603,222
604,231
605,209
606,253
607,211
608,214
609,215
610,220
611,215
612,226
613,203
614,206
615,192
616,221
617,209
618,227
619,197
620,187
621,234
622,196
623,190
624,214
625,190
626,240
627,188
628,193
629,223
630,244
631,208
632,198
633,206
634,230
635,201
636,169
637,186
638,220
639,214
640,218
641,202
642,197
643,201
644,196
645,198
646,193
647,195
648,180
649,180
650,213
651,187
652,210
653,195
654,188
655,181
656,176
657,204
658,192
659,210
660,188
661,204
662,234
663,183
664,205
665,209
666,185
667,203
668,193
669,205
670,208
671,209
672,188
673,181
674,216
675,226
676,202
677,182
678,222
679,220
680,232
681,203
682,215
683,219
684,197
685,198
686,199
687,205
688,179
689,182
690,180
691,184
692,217
693,190
694,183
695,159
696,189
697,185
698,205
699,191
700,192
701,187
702,191
703,187
704,178
705,185
706,178
707,183
708,168
709,211
710,182
711,167
712,171
713,157
714,169
715,174
716,161
717,159
718,194
719,170
720,161
721,157
722,176
723,168
724,165
725,155
726,156
727,173
728,151
729,146
730,167
731,189
732,145
733,136
734,173
735,148
736,159
737,149
738,158
739,146
740,147
741,142
742,167
743,156
744,156
745,164
746,144
747,150
748,153
749,153
750,127
751,155
752,145
753,149
754,151
755,165
756,151
757,153
758,144
759,146
760,165
761,152
762,150
763,154
764,155
765,157
766,163
767,151
768,152
769,151
770,153
771,158
772,150
773,127
774,161
775,146
776,151
777,154
778,143
779,128
780,149
781,130
782,144
783,150
784,163
785,138
786,152
787,135
788,139
789,148
790,159
791,153
792,144
793,156
794,151
795,142
796,145
797,160
798,154
799,133
800,145
801,129
802,150
803,114
804,151
805,150
806,138
807,123
808,127
809,123
810,143
811,119
812,124
813,118
814,126
815,134
816,117
817,119
818,135
819,118
820,129
821,104
822,125
823,132
824,132
825,135
826,114
827,101
828,107
829,120
830,120
831,141
832,127
833,130
834,118
835,114
836,125
837,113
838,105
839,124
840,127
841,113
842,115
843,127
844,143
845,118
846,113
847,109
848,104
849,136
850,128
851,113
852,124
853,96
854,115
855,124
856,122
857,115
858,111
859,113
860,112
861,108
862,115
863,97
864,122
865,111
866,122
867,115
868,100
869,103
870,125
871,99
872,96
873,96
874,113
875,112
876,132
877,106
878,116
879,115
880,120
881,116
882,109
883,110
884,91
885,109
886,94
887,107
